ID bloco	Classificação Spider	Id enunciado	Base/paráfrase	Consulta em inglês	Statement em SQL gerado pelo humano	Consulta em português no domínio de declaração de viagem internacional	Consulta em inglês no domínio de declaração de viagem internacional	Domínio/valor/genérica	Comentários	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional (português)	Revisão do SQL (Sara)	Revisado_1	Classificação nível eventos/casos	Classificação projeção	Classificação filtro	Classificação geral	relevância	wh-question	Revisão_1-Thais	Ambiguo	Comentário
1	easy	1	base	How many activities 'closed' are there in the event log?	 	Quantas atividades 'fim da viagem' existem no log de eventos?	How many 'end trip' activities are there in the event log?	Valor		SELECT count(*) FROM events_log WHERE activity = 'End trip'	SELECT count(*) FROM events_log WHERE activity = 'Fim da viagem'	ok	S	eventos	atividades;agregado	atividade	estatística descritiva sobre fluxo de controle	2	How	S	N	
1	easy	2	paráfrase	How many activities 'closed' do we have?	SELECT count(idevent) FROM log1 WHERE activity="Closed"	Quantas atividades 'fim da viagem' temos?	How many 'end trip' activities do we have?	Valor											How			
1	easy	3	paráfrase	How many times did activity 'closed' run?		Quantas vezes a atividade 'fim da viagem' foi executada?	How many times was the 'end trip' activity performed?	Valor											How			
1	easy	4	paráfrase	How many occurrences of activity 'closed' are there in the event log?	 	Quantas ocorrências da atividade 'fim da viagem' existem no log de eventos?	How many occurrences of the 'end trip' activity are there in the event log?	Valor	 										How			
1	easy	5	paráfrase	How many times did activity 'closed' occur?		Quantas vezes a atividade 'fim da viagem' ocorreu?	How many times did the 'end trip' activity occur?	Valor											How			
1	easy	6	paráfrase	How many events related to activity 'closed' are there in the event log?	 	Quantos eventos relacionados à atividade 'fim da viagem' existem no log de eventos?	How many events related to the 'end trip' activity are there in the event log?	Valor	 										How			
1	easy	7	paráfrase	How many times does the activity named 'closed' run?		Quantas vezes a atividade nomeada 'fim da viagem' foi executada?	How many times was the activity named 'end trip' performed?	Valor	 										How			
1	easy	8	paráfrase	Report the number of times activity 'closed' was executed.		Informe o número de vezes que a atividade 'fim da viagem' foi executada.	Report the number of times the 'end trip' activity was performed.	Valor	 										None			
1	easy	9	paráfrase	Report the number of occurrences of activity 'closed'		Informe o número de ocorrências da atividade 'fim da viagem'.	Report the number of occurrences of the 'end trip' activity.	Valor	 										None			
1	easy	10	paráfrase	Report the number of occurrences of the activity named 'closed'.		Informe o número de ocorrências da atividade nomeada 'fim da viagem'.	Report the number of occurrences of the activity named 'end trip'.	Valor	 										None			
1	easy	11	paráfrase	How many closed activities do we have?	SELECT count(*) FROM log1 WHERE activity="Closed"	Quantas vezes o fim de uma viagem foi registrado?	How many times was the end of a trip recorded?	Domínio	 										How			
																						
2	medium	12	base	How many executions of activity 'closed' has resource 27 performed?	 	Quantas execuções da atividade 'fim da viagem' foram executadas pelo recurso James?	How many performances of the 'end trip' activity were performed by the James resource?	Valor		SELECT count(*) FROM events_log WHERE activity = 'End trip' AND resource = 'James'	SELECT count(*) FROM events_log WHERE activity = 'Fim da viagem' AND resource = 'James'	ok	S	eventos	agregado	atividade;recurso	estatística descritiva sobre recursos;perspectiva de fluxo de controle	2	How	S	N	
2	medium	13	paráfrase	How many activities do we have that were updated by the resource 27 that are 'closed'?	SELECT count(*) FROM log1 WHERE activity="Closed" AND resource="Updated by 27"	Temos quantas atividades que foram atualizadas pelo recurso James e que se referem ao 'fim da viagem'?	How many activities do we have that were updated by the James resource and that refer to the 'end trip'?	Valor											How			
